ad_campaign_id,category
2954654001,Sports & Outdoors
2954065001,Video Games
2953914001,Electronics
2953863001,Movies & TV
2953852001,Software
2953641001,Toys & Games
2953165001,Apps & Games
2953152001,Apps & Games
2953147001,Apps & Games
2953143001,Apps & Games
2953139001,Apps & Games
2952744001,Video Games
2952744001,Electronics
2952662001,Tools & Home Improvement
2952442001,Apps & Games
2951769001,Apps & Games
2950172001,Apps & Games
2949794001,Toys & Games
2949736001,Toys & Games
2949727001,Apps & Games
2949725001,Health & Household
2949710001,Sports & Outdoors
2949700001,Kitchen & Dining
2949700001,Home & Kitchen
2949700001,Small Appliance Parts & Accessories
2949634001,Home & Kitchen
2949634001,Health & Household
2949363001,"Clothing, Shoes & Jewelry"
2949340001,Toys & Games
2949310001,"Clothing, Shoes & Jewelry"
2949291001,Automotive
2949291001,Pet Supplies
2949291001,Electronics
2949185001,Electronics
2949185001,Cell Phones & Accessories
2949164001,"Clothing, Shoes & Jewelry"
2949164001,Sports & Outdoors
2949150001,Electronics
2949150001,Cell Phones & Accessories
2949150001,Automotive
2949073001,Home & Kitchen
2949073001,Pet Supplies
2949073001,Cell Phones & Accessories
2949073001,Electronics
2949072001,"Clothing, Shoes & Jewelry"
2949072001,Sports & Outdoors
2949072001,Electronics
2949022001,Electronics
2949022001,Pet Supplies
2949022001,Cell Phones & Accessories
2948980001,Electronics
2948980001,Cell Phones & Accessories
2948980001,Home & Kitchen
2948924001,Electronics
2948924001,Automotive
2948924001,Home & Kitchen
2948908001,Movies & TV
2948907001,Movies & TV
2948725001,Sports & Outdoors
2947384001,Beauty & Personal Care
2947329001,Toys & Games
2947143001,Video Games
2945424001,Apps & Games
2945415001,Apps & Games
2944586001,Video Games
2944586001,Electronics
2944583001,Video Games
2944583001,Electronics
2944581001,Video Games
2944581001,Electronics
2944415001,Movies & TV
2943997001,"Clothing, Shoes & Jewelry"
2943990001,Beauty & Personal Care
2943900001,Sports & Outdoors
2943900001,Toys & Games
2943754001,Movies & TV
2943744001,Movies & TV
2943653001,Toys & Games
2943350001,Toys & Games
2943114001,Home & Kitchen
2943114001,Tools & Home Improvement
2943031001,Tools & Home Improvement
2943021001,Grocery & Gourmet Food
2942686001,Toys & Games
2942576001,Apps & Games
2942570001,Apps & Games
2942568001,Apps & Games
2942491001,Electronics
2942305001,Beauty & Personal Care
2941982001,Kindle Store
2941982001,Books
2941840001,Apps & Games
2941647001,Sports & Outdoors
2941647001,Home & Kitchen
2940799001,Health & Household
2940600001,Apps & Games
2940291001,Apps & Games
2938629001,Apps & Games
2937755001,Apps & Games
2937753001,Apps & Games
2937749001,Apps & Games
2935862001,Apps & Games
2935860001,Apps & Games
2935859001,Apps & Games
2935741001,"Clothing, Shoes & Jewelry"
2935390001,Home & Kitchen
2934580001,Grocery & Gourmet Food
2934580001,Health & Household
2934539001,Toys & Games
2934527001,"Clothing, Shoes & Jewelry"
2934527001,Sports & Outdoors
2934509001,Video Games
2934316001,Health & Household
2933669001,Beauty & Personal Care
2933533001,Home & Kitchen
2933533001,Sports & Outdoors
2933533001,Toys & Games
2932723001,Apps & Games
2932719001,Apps & Games
2932717001,Apps & Games
2932381001,Toys & Games
2932087001,Apps & Games
2932085001,Apps & Games
2932083001,Apps & Games
2932080001,Apps & Games
2931809001,Health & Household
2931600001,Apps & Games
2931372001,Home & Kitchen
2931369001,Home & Kitchen
2931268001,Toys & Games
2931209001,Sports & Outdoors
2931209001,"Clothing, Shoes & Jewelry"
2931186001,Toys & Games
2930921001,"Clothing, Shoes & Jewelry"
2930855001,Sports & Outdoors
2930855001,"Clothing, Shoes & Jewelry"
2930693001,Apps & Games
2930558001,"Clothing, Shoes & Jewelry"
2930482001,Apps & Games
2930403001,"Clothing, Shoes & Jewelry"
2930101001,Pet Supplies
2930073001,Electronics
2930004001,"Clothing, Shoes & Jewelry"
2929975001,Tools & Home Improvement
2929820001,Electronics
2929820001,Office Products
2929820001,Video Games
2928985001,Apps & Games
2928282001,"Clothing, Shoes & Jewelry"
2927555001,"Clothing, Shoes & Jewelry"
2927518001,Apps & Games
2927517001,Apps & Games
2927514001,Apps & Games
2927513001,Apps & Games
2927154001,Video Games
2927039001,Electronics
2926935001,Movies & TV
2926624001,Baby Products
2926624001,Beauty & Personal Care
2926552001,Grocery & Gourmet Food
2926510001,Grocery & Gourmet Food
2926436001,Health & Household
2926088001,Apps & Games
2925953001,Grocery & Gourmet Food
2925734001,Toys & Games
2925538001,"Clothing, Shoes & Jewelry"
2925253001,"Clothing, Shoes & Jewelry"
2925024001,Movies & TV
2923557001,Apps & Games
2923278001,Apps & Games
2923276001,Apps & Games
2923274001,Apps & Games
2923134001,Electronics
2923023001,Grocery & Gourmet Food
2923005001,Apps & Games
2923004001,Apps & Games
2923003001,Apps & Games
2922814001,"Clothing, Shoes & Jewelry"
2922565001,Health & Household
2922289001,"Clothing, Shoes & Jewelry"
2921818001,Video Games
2921573001,Movies & TV
2921463001,"Clothing, Shoes & Jewelry"
2921447001,Books
2921447001,Kindle Store
2921345001,Health & Household
2921259001,"Clothing, Shoes & Jewelry"
2920915001,"Clothing, Shoes & Jewelry"
2920761001,Apps & Games
2920467001,Apps & Games
2920364001,Baby Products
2920247001,Automotive
2920245001,Apps & Games
2920215001,Apps & Games
